n,q,sigma,scheme,trial,latency_us
512,3329,1,lattice_only,323,517
512,3329,1,hybrid,324,492
512,3329,1,lattice_only,324,507
512,3329,1,hybrid,325,499
512,3329,1,lattice_only,325,510
512,3329,1,hybrid,326,497
512,3329,1,lattice_only,326,506
512,3329,1,hybrid,327,498
512,3329,1,lattice_only,327,510
512,3329,1,hybrid,328,507
512,3329,1,lattice_only,328,509
512,3329,1,hybrid,329,525
512,3329,1,lattice_only,329,480
512,3329,1,hybrid,330,524
512,3329,1,lattice_only,330,524
512,3329,1,hybrid,331,529
512,3329,1,lattice_only,331,480
512,3329,1,hybrid,332,526
512,3329,1,lattice_only,332,479
512,3329,1,hybrid,333,526
512,3329,1,lattice_only,333,479
512,3329,1,hybrid,334,519
512,3329,1,lattice_only,334,541
512,3329,1,hybrid,335,527
512,3329,1,lattice_only,335,486
512,3329,1,hybrid,336,520
512,3329,1,lattice_only,336,486
512,3329,1,hybrid,337,519
512,3329,1,lattice_only,337,486
512,3329,1,hybrid,338,578
512,3329,1,lattice_only,338,517
512,3329,1,hybrid,339,494
512,3329,1,lattice_only,339,524
512,3329,1,hybrid,340,493
512,3329,1,lattice_only,340,511
512,3329,1,hybrid,341,492
512,3329,1,lattice_only,341,525
512,3329,1,hybrid,342,552
512,3329,1,lattice_only,342,510
512,3329,1,hybrid,343,498
512,3329,1,lattice_only,343,505
512,3329,1,hybrid,344,523
512,3329,1,lattice_only,344,508
512,3329,1,hybrid,345,498
512,3329,1,lattice_only,345,542
512,3329,1,hybrid,346,526
512,3329,1,lattice_only,346,479
512,3329,1,hybrid,347,524
512,3329,1,lattice_only,347,480
512,3329,1,hybrid,348,523
512,3329,1,lattice_only,348,480
512,3329,1,hybrid,349,533
512,3329,1,lattice_only,349,522
512,3329,1,hybrid,350,531
512,3329,1,lattice_only,350,486
512,3329,1,hybrid,351,518
512,3329,1,lattice_only,351,486
512,3329,1,hybrid,352,524
512,3329,1,lattice_only,352,487
512,3329,1,hybrid,353,558
512,3329,1,lattice_only,353,488
512,3329,1,hybrid,354,523
512,3329,1,lattice_only,354,512
512,3329,1,hybrid,355,492
512,3329,1,lattice_only,355,509
512,3329,1,hybrid,356,493
512,3329,1,lattice_only,356,515
512,3329,1,hybrid,357,532
512,3329,1,lattice_only,357,513
512,3329,1,hybrid,358,492
512,3329,1,lattice_only,358,514
512,3329,1,hybrid,359,498
512,3329,1,lattice_only,359,506
512,3329,1,hybrid,360,498
512,3329,1,lattice_only,360,507
512,3329,1,hybrid,361,557
512,3329,1,lattice_only,361,566
512,3329,1,hybrid,362,530
512,3329,1,lattice_only,362,480
512,3329,1,hybrid,363,528
512,3329,1,lattice_only,363,481
512,3329,1,hybrid,364,539
512,3329,1,lattice_only,364,521
512,3329,1,hybrid,365,525
512,3329,1,lattice_only,365,480
512,3329,1,hybrid,366,525
512,3329,1,lattice_only,366,485
512,3329,1,hybrid,367,520
512,3329,1,lattice_only,367,485
512,3329,1,hybrid,368,516
512,3329,1,lattice_only,368,523
512,3329,1,hybrid,369,522
512,3329,1,lattice_only,369,486
512,3329,1,hybrid,370,517
512,3329,1,lattice_only,370,485
512,3329,1,hybrid,371,519
512,3329,1,lattice_only,371,485
512,3329,1,hybrid,372,553
512,3329,1,lattice_only,372,519
512,3329,1,hybrid,373,492
512,3329,1,lattice_only,373,512
512,3329,1,hybrid,374,492
512,3329,1,lattice_only,374,512
512,3329,1,hybrid,375,493
512,3329,1,lattice_only,375,509
512,3329,1,hybrid,376,537
512,3329,1,lattice_only,376,506
512,3329,1,hybrid,377,497
512,3329,1,lattice_only,377,508
512,3329,1,hybrid,378,504
512,3329,1,lattice_only,378,510
512,3329,1,hybrid,379,499
512,3329,1,lattice_only,379,561
512,3329,1,hybrid,380,528
512,3329,1,lattice_only,380,481
512,3329,1,hybrid,381,522
512,3329,1,lattice_only,381,481
512,3329,1,hybrid,382,527
512,3329,1,lattice_only,382,480
512,3329,1,hybrid,383,529
512,3329,1,lattice_only,383,520
512,3329,1,hybrid,384,529
512,3329,1,lattice_only,384,485
512,3329,1,hybrid,385,520
512,3329,1,lattice_only,385,486
512,3329,1,hybrid,386,516
512,3329,1,lattice_only,386,485
512,3329,1,hybrid,387,556
512,3329,1,lattice_only,387,486
512,3329,1,hybrid,388,522
512,3329,1,lattice_only,388,485
512,3329,1,hybrid,389,517
512,3329,1,lattice_only,389,513
512,3329,1,hybrid,390,493
512,3329,1,lattice_only,390,512
512,3329,1,hybrid,391,535
512,3329,1,lattice_only,391,518
512,3329,1,hybrid,392,493
512,3329,1,lattice_only,392,512
512,3329,1,hybrid,393,493
512,3329,1,lattice_only,393,527
512,3329,1,hybrid,394,499
512,3329,1,lattice_only,394,506
512,3329,1,hybrid,395,541
512,3329,1,lattice_only,395,510
512,3329,1,hybrid,396,498
512,3329,1,lattice_only,396,504
512,3329,1,hybrid,397,497
512,3329,1,lattice_only,397,508
512,3329,1,hybrid,398,499
512,3329,1,lattice_only,398,543
512,3329,1,hybrid,399,527
512,3329,1,lattice_only,399,481
512,3329,1,hybrid,400,526
512,3329,1,lattice_only,400,480
512,3329,1,hybrid,401,529
512,3329,1,lattice_only,401,480
512,3329,1,hybrid,402,524
512,3329,1,lattice_only,402,527
512,3329,1,hybrid,403,523
512,3329,1,lattice_only,403,485
512,3329,1,hybrid,404,519
512,3329,1,lattice_only,404,487
512,3329,1,hybrid,405,520
512,3329,1,lattice_only,405,495
512,3329,1,hybrid,406,581
512,3329,1,lattice_only,406,519
512,3329,1,hybrid,407,493
512,3329,1,lattice_only,407,510
512,3329,1,hybrid,408,493
512,3329,1,lattice_only,408,513
512,3329,1,hybrid,409,493
512,3329,1,lattice_only,409,518
512,3329,1,hybrid,410,545
512,3329,1,lattice_only,410,512
512,3329,1,hybrid,411,499
512,3329,1,lattice_only,411,507
512,3329,1,hybrid,412,498
512,3329,1,lattice_only,412,507
512,3329,1,hybrid,413,514
512,3329,1,lattice_only,413,553
512,3329,1,hybrid,414,500
512,3329,1,lattice_only,414,480
512,3329,1,hybrid,415,525
512,3329,1,lattice_only,415,480
512,3329,1,hybrid,416,523
512,3329,1,lattice_only,416,480
512,3329,1,hybrid,417,523
512,3329,1,lattice_only,417,535
512,3329,1,hybrid,418,526
512,3329,1,lattice_only,418,480
512,3329,1,hybrid,419,519
512,3329,1,lattice_only,419,485
512,3329,1,hybrid,420,521
