n,scheme,target_rate,latency_us,breached
128,hybrid,5000,45,0
128,hybrid,5000,47,0
128,hybrid,5000,46,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,46,0
128,hybrid,5000,47,0
128,hybrid,5000,46,0
128,hybrid,5000,44,0
128,hybrid,5000,46,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,46,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,50,0
128,hybrid,5000,45,0
128,hybrid,5000,44,0
128,hybrid,5000,48,0
128,hybrid,5000,48,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,46,0
128,hybrid,5000,51,0
128,hybrid,5000,49,0
128,hybrid,5000,46,0
128,hybrid,5000,44,0
128,hybrid,5000,45,0
128,hybrid,5000,47,0
128,hybrid,5000,55,0
128,hybrid,5000,46,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,45,0
128,hybrid,5000,46,0
128,hybrid,5000,44,0
128,hybrid,5000,81,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,50,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,45,0
128,hybrid,5000,46,0
128,hybrid,5000,47,0
128,hybrid,5000,46,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,47,0
128,hybrid,5000,45,0
128,hybrid,5000,44,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,45,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,44,0
128,hybrid,5000,47,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,45,0
128,hybrid,5000,44,0
128,hybrid,5000,46,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,47,0
128,hybrid,5000,47,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,44,0
128,hybrid,5000,46,0
128,hybrid,5000,45,0
128,hybrid,5000,46,0
128,hybrid,5000,45,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,44,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
128,hybrid,5000,46,0
128,hybrid,5000,46,0
128,hybrid,5000,45,0
128,hybrid,5000,45,0
